candidate,cases,tests,valid_on_fixed,lines_total,lines_covered,conditions_total,conditions_covered,log
1,decimal|decimal_big|to_float|create_integer|create_big_integer|max_long_array|max_double_array,7,True,380,76,350,34,evaluations/candidate_001.log
2,hex_hash|hex_ff|hex_big|decimal|number_blank|to_float|create_big_decimal|create_float|max_int_array|min_three,10,True,380,87,350,43,evaluations/candidate_002.log
3,hex_hash|to_short|to_float|create_big_decimal|create_float|is_number|max_long_array|min_three,8,True,380,88,350,48,evaluations/candidate_003.log
4,hex_small|hex_hash|hex_ff|hex_big|to_short,5,True,380,56,350,22,evaluations/candidate_004.log
5,hex_boundary|to_short|create_float|min_double_array|max_double_array,5,True,380,61,350,27,evaluations/candidate_005.log
6,hex_small|hex_hash|number_blank|to_float|to_double|create_float|create_double|max_three,8,True,380,58,350,24,evaluations/candidate_006.log
7,hex_hash|decimal_negative|number_null|to_int|to_byte|create_long|is_digits|min_long_array|max_three,9,True,380,81,350,39,evaluations/candidate_007.log
8,hex_small|hex_hash|hex_ff|to_short|create_big_integer|min_int_array|min_long_array|max_three,8,True,380,74,350,36,evaluations/candidate_008.log
9,hex_small|hex_boundary|hex_ff|to_short|create_float|max_double_array,6,True,380,57,350,24,evaluations/candidate_009.log
10,hex_boundary|hex_hash|to_short|create_big_decimal|create_float|is_number|max_long_array|max_double_array|min_three,9,True,380,91,350,51,evaluations/candidate_010.log
11,hex_small|hex_hash|hex_ff|hex_big|decimal_big|to_short|create_float|max_long_array|min_three,9,True,380,90,350,43,evaluations/candidate_011.log
12,hex_hash|hex_ff|decimal|decimal_big|number_blank|to_long|to_float|create_integer|create_big_integer|create_big_decimal|create_float|max_int_array|max_double_array|min_three,14,True,380,101,350,52,evaluations/candidate_012.log
13,hex_ff|to_short|create_big_decimal|min_int_array|min_long_array|min_three,6,True,380,65,350,29,evaluations/candidate_013.log
14,number_null|to_int|to_float|create_long|create_float|is_digits|is_number|min_three|max_three,9,True,380,69,350,34,evaluations/candidate_014.log
15,hex_small|hex_boundary|hex_hash|hex_ff|to_short|is_number|min_int_array|min_long_array|max_long_array,9,True,380,89,350,50,evaluations/candidate_015.log
16,hex_small|hex_hash|hex_ff|hex_big|decimal|number_blank|to_short|min_three,8,True,380,74,350,33,evaluations/candidate_016.log
17,hex_ff|hex_big|decimal|number_blank|to_long|to_short|to_float|create_integer|create_big_integer|create_big_decimal|create_float|min_three,12,True,380,89,350,44,evaluations/candidate_017.log
18,hex_boundary|decimal|to_float|create_integer|create_float|max_long_array|min_double_array,7,True,380,74,350,37,evaluations/candidate_018.log
